Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,3.4369812,1.3725059199856693,3.4371426,1.3726034688451927,97.17741935483872,100.0
2,benchvise,247.50624233,5.959521,2.8490691756180966,5.959939,2.8492794854942813,100.0,100.0
4,camera,172.49224865,4.303803,1.8178313794815866,4.303952,1.8179264903552645,99.1701244813278,100.0
5,can,201.40358597,7.0841846,2.528866179827399,7.0844073,2.52909425932568,95.83333333333334,99.58333333333333
6,cat,154.54551808,3.1168103,1.5135532423950449,3.1168957,1.5135910610944359,99.57627118644068,100.0
8,driller,261.47178102,6.967637,3.4067022824929287,6.967801,3.406910282242256,99.15966386554622,100.0
9,duck,108.99920102,3.678265,1.5011238115561758,3.6783981,1.5011810517834463,97.60956175298804,100.0
10,eggbox,164.62758848,4.716771,1.8189556059132275,4.7167726,1.8189630237021326,98.00796812749005,100.0
11,glue,175.88933422,4.020399,2.030351805198007,4.020644,2.0305151202467364,99.18032786885246,100.0
12,holepuncher,145.54287471,3.33294,1.572648670322248,3.332988,1.5726660935547643,99.59677419354838,100.0
13,iron,278.07811733,80.19905,7.583234812416261,80.20081,7.585099048375278,43.290043290043286,100.0
14,lamp,282.60129399,8.932119,3.7207411582660703,8.932151,3.7208124660022794,97.96747967479675,99.59349593495935
15,phone,212.35825148,6.1599317,2.658988066691264,6.1607437,2.659339993375768,96.3855421686747,100.0
