Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,5.1370044,1.6873071023954471,5.137112,1.6873716176796687,92.33870967741935,99.59677419354838
2,benchvise,247.50624233,9.422421,4.069554835638985,9.4229765,4.069889253122502,95.47325102880659,100.0
4,camera,172.49224865,5.8815584,2.349042785124291,5.881843,2.349180112535525,97.0954356846473,100.0
5,can,201.40358597,8.131186,2.6909871553094047,8.131342,2.6911524160066733,95.83333333333334,100.0
6,cat,154.54551808,4.360682,1.907622038627837,4.3607583,1.9076693250530963,98.72881355932203,100.0
8,driller,261.47178102,10.696792,4.761973955103173,10.696886,4.762122021106075,95.7983193277311,99.57983193277312
9,duck,108.99920102,5.788604,1.939154797993663,5.7887206,1.9391950118617312,90.43824701195219,100.0
10,eggbox,164.62758848,11.067704,2.8406608828104054,11.067706,2.8406842589017725,88.44621513944223,100.0
11,glue,175.88933422,8.228431,3.2108166955135076,8.228757,3.2110836793882784,89.34426229508196,100.0
12,holepuncher,145.54287471,4.9468904,1.9586443190227416,4.946854,1.958657257938222,97.17741935483872,100.0
13,iron,278.07811733,72.969444,8.526119869883692,72.97128,8.527882199219453,47.61904761904761,99.13419913419914
14,lamp,282.60129399,28.563366,7.075773975857309,28.56385,7.076224419060859,78.86178861788618,99.1869918699187
15,phone,212.35825148,8.432972,3.4166449755229045,8.433914,3.4171756281985437,93.57429718875501,99.59839357429718
