Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,5.432197,1.976503350286822,5.4324727,1.976711828707278,93.14516129032258,100.0
2,benchvise,247.50624233,7.7963133,3.5933474423584717,7.79352,3.5922461117145046,98.7603305785124,100.0
4,camera,172.49224865,6.4900713,2.556891077985845,6.486839,2.5548760610050683,99.5850622406639,100.0
5,can,201.40358597,6.7921386,2.6585219037914385,6.792662,2.658888550180964,99.16666666666667,100.0
6,cat,154.54551808,5.7069387,2.5485792974177137,5.7067056,2.5484256824727582,99.15254237288136,100.0
8,driller,261.47178102,7.9407663,3.834743329473539,7.9363356,3.8311090313744756,99.15966386554622,100.0
9,duck,108.99920102,5.39664,2.184947037247077,5.3959575,2.1846126714507497,95.61752988047809,100.0
10,eggbox,164.62758848,5.8267994,2.1530359831587575,5.826536,2.1532638798943404,98.40637450199203,100.0
11,glue,175.88933422,5.6921597,2.84352985541267,5.6929655,2.843759836660882,99.58847736625515,100.0
12,holepuncher,145.54287471,5.281077,2.14502758417463,5.2805085,2.1450611194251183,97.98387096774194,100.0
13,iron,278.07811733,8.030504,3.619220718491534,8.031017,3.619841663546586,99.56709956709958,100.0
14,lamp,282.60129399,7.744474,3.4304022194643906,7.7439175,3.429539172263048,99.59183673469387,100.0
15,phone,212.35825148,7.1759706,3.1804279967023206,7.1658792,3.1756476010937487,98.79518072289156,100.0
