Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,6.287241,1.9574809496422862,6.287272,1.957492018142892,88.30645161290323,100.0
2,benchvise,247.50624233,8.3832655,3.6674987786063107,8.383542,3.667704118959466,95.88477366255144,100.0
4,camera,172.49224865,6.9849963,2.679944327627304,6.985261,2.680092689475166,97.9253112033195,100.0
5,can,201.40358597,8.458103,2.858697955802835,8.45824,2.8588430157193776,94.16666666666667,100.0
6,cat,154.54551808,4.6604533,2.1062590141247224,4.6605897,2.1063210287629057,99.15254237288136,100.0
8,driller,261.47178102,8.711425,4.122320760830739,8.711618,4.122518450301574,97.89915966386555,99.57983193277312
9,duck,108.99920102,6.5719476,2.177509666716606,6.572054,2.177593252387385,90.43824701195219,100.0
10,eggbox,164.62758848,16.008795,3.4166387438208257,16.008795,3.416653728890604,79.6812749003984,100.0
11,glue,175.88933422,7.696243,3.2205372829610974,7.696475,3.220668051234941,93.85245901639344,100.0
12,holepuncher,145.54287471,7.14215,2.3991331945736665,7.142251,2.3992501783650266,91.93548387096774,100.0
13,iron,278.07811733,77.48795,7.7209024891076785,77.489716,7.722752931847759,44.58874458874459,99.56709956709958
14,lamp,282.60129399,11.273087,4.422882188476924,11.2732525,4.4230445818032225,96.34146341463415,99.59349593495935
15,phone,212.35825148,8.171999,3.435559170009583,8.172752,3.435905221183665,96.3855421686747,100.0
