Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,5.271952,1.9190341229601164,5.2720284,1.9191078126162262,92.74193548387096,100.0
2,benchvise,247.50624233,8.588719,3.866609851575464,8.586721,3.8658256533486335,97.94238683127571,99.58847736625515
4,camera,172.49224865,6.7286425,2.62926225642058,6.724077,2.6268018443532073,98.7551867219917,100.0
5,can,201.40358597,7.093633,2.7688065013170404,7.093383,2.768794566812618,98.75,100.0
6,cat,154.54551808,5.843528,2.5910286817430617,5.8436527,2.590903242543076,97.88135593220339,100.0
8,driller,261.47178102,7.9948535,3.834789561926302,7.9912477,3.831833576003123,98.73949579831933,100.0
9,duck,108.99920102,5.3866816,2.2028870804685714,5.3860626,2.2025904788349155,97.21115537848605,100.0
10,eggbox,164.62758848,6.03793,2.1829809538253,6.0377007,2.1832828075134016,98.80478087649402,100.0
11,glue,175.88933422,5.822904,2.830067581507904,5.8225117,2.829796590793192,98.77049180327869,100.0
12,holepuncher,145.54287471,5.6007476,2.253147398211721,5.600597,2.253256690505481,98.38709677419355,100.0
13,iron,278.07811733,7.917955,3.5618971699219673,7.9186873,3.562307130559357,100.0,100.0
14,lamp,282.60129399,8.029836,3.498339361311217,8.028961,3.497994396783528,99.59349593495935,99.59349593495935
15,phone,212.35825148,7.494867,3.297831427131079,7.4899487,3.295117763870368,99.19678714859438,100.0
