Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,6.0857673,2.0715366223524194,6.0870633,2.0724748210899495,89.91935483870968,99.59677419354838
2,benchvise,247.50624233,12.725919,5.127695974640265,12.7289715,5.129824546231763,92.14876033057851,100.0
4,camera,172.49224865,8.410535,3.107828371598918,8.40986,3.107157819201605,95.0207468879668,100.0
5,can,201.40358597,10.067678,3.5833634711948434,10.067564,3.583570280400126,94.16666666666667,100.0
6,cat,154.54551808,6.35654,2.745854041790209,6.3570313,2.7454728044228776,97.03389830508475,100.0
8,driller,261.47178102,10.847204,4.974984707811975,10.846855,4.97490250191721,96.63865546218487,100.0
9,duck,108.99920102,6.8482547,2.5827412436882913,6.84879,2.5830054503683866,90.43824701195219,99.60159362549801
10,eggbox,164.62758848,10.666777,3.2059794238588486,10.666377,3.205638907822725,87.64940239043824,100.0
11,glue,175.88933422,7.9720063,3.530785347956804,7.973717,3.5323502232546065,95.47325102880659,100.0
12,holepuncher,145.54287471,7.397596,2.609782996677138,7.3973165,2.6098740931257574,93.95161290322581,100.0
13,iron,278.07811733,12.014405,5.024895094467757,12.014362,5.025002339360982,95.23809523809523,100.0
14,lamp,282.60129399,11.619473,4.72662161750553,11.619051,4.726791443154207,98.36734693877551,100.0
15,phone,212.35825148,12.14492,4.626420677944125,12.144069,4.62674201698766,90.76305220883533,100.0
