Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,3.7430568,1.416003175370541,3.743157,1.416056242765849,96.7741935483871,100.0
2,benchvise,247.50624233,6.541268,3.0810180747310234,6.5417147,3.081217676633626,99.1769547325103,100.0
4,camera,172.49224865,4.491235,1.8769384920249148,4.491352,1.8769920138200897,99.5850622406639,100.0
5,can,201.40358597,6.639583,2.4403892748922003,6.639803,2.4406225220672892,97.5,100.0
6,cat,154.54551808,3.3637555,1.6136280644207182,3.3638484,1.6136671974075096,99.15254237288136,100.0
8,driller,261.47178102,7.824364,3.713588176957026,7.8244367,3.7136791207493123,98.31932773109243,99.57983193277312
9,duck,108.99920102,3.654897,1.4957453653818307,3.6550307,1.4958177148621645,96.81274900398407,100.0
10,eggbox,164.62758848,4.5021048,1.7653814257302785,4.502106,1.7653867589029788,99.20318725099602,100.0
11,glue,175.88933422,4.326394,2.117992896036571,4.3266673,2.118187902610057,98.77049180327869,100.0
12,holepuncher,145.54287471,3.7975276,1.6197331934412915,3.7974873,1.6197768190545796,99.19354838709677,100.0
13,iron,278.07811733,81.61729,7.7625274784607425,81.61907,7.764465732120473,41.55844155844156,99.56709956709958
14,lamp,282.60129399,9.235816,3.805003286556879,9.23586,3.8050549807161946,96.34146341463415,100.0
15,phone,212.35825148,6.1372175,2.637016483349659,6.1379795,2.6373688366216914,97.18875502008032,100.0
