Object ID,Object Name,Diameter (mm),Mean ADD (mm),Mean ADD-S (mm),Mean ADD-Rot (mm),Mean ADD-S-Rot (mm),ADD-0.1d Accuracy (%),ADD-S-0.1d Accuracy (%)
1,ape,102.09865663,6.6799664,2.0378898378930494,6.679965,2.037879420791693,81.04838709677419,99.59677419354838
2,benchvise,247.50624233,8.100433,3.6811197143860634,8.100749,3.6813194866817605,96.70781893004116,100.0
4,camera,172.49224865,6.7166967,2.6355449199507555,6.716963,2.635681284691735,97.9253112033195,100.0
5,can,201.40358597,8.217553,2.8673598835511966,8.217713,2.8675593656767338,93.75,100.0
6,cat,154.54551808,4.936058,2.210730129862313,4.9361687,2.210804505321347,98.72881355932203,100.0
8,driller,261.47178102,8.412135,4.028225600510099,8.412293,4.028469553799992,97.05882352941177,99.57983193277312
9,duck,108.99920102,6.542511,2.1493801462053153,6.5426273,2.149458045696916,90.0398406374502,99.60159362549801
10,eggbox,164.62758848,14.211834,3.3051335419271504,14.211831,3.3051314343174876,83.26693227091634,100.0
11,glue,175.88933422,7.7064652,3.1700370545180374,7.70661,3.1701262304530116,93.44262295081968,100.0
12,holepuncher,145.54287471,7.0052156,2.4108813691379445,7.005245,2.410898574298396,95.16129032258065,100.0
13,iron,278.07811733,77.40114,7.6638044398742355,77.40294,7.665698207427393,45.02164502164502,100.0
14,lamp,282.60129399,11.075514,4.387268247943353,11.075622,4.387397941686705,95.9349593495935,99.59349593495935
15,phone,212.35825148,8.477153,3.5136638746477775,8.477923,3.5140370635081055,96.3855421686747,100.0
